,Subject,Sex,Re,Int,NoInt,RIT
62,HpiGre2990M,M,Y,0,4,4
63,HpiGre2990M,M,N,8,4,4
64,HpiXXX7700M,M,Y,0,4,4
65,HpiXXX7700M,M,N,50,3,4
66,LblGre1214F,F,Y,1,4,4
67,LblGre1214F,F,N,1,4,4
68,RedYel0836M,M,Y,0,4,4
69,RedYel0836M,M,N,10,4,4
70,BluGre3435F,F,Y,0,4,5
71,BluGre3435F,F,N,27,4,5
72,GreBlu4813M,M,Y,0,4,5
73,GreBlu4813M,M,N,2,4,5
74,GreGre1819F,F,Y,0,4,5
75,GreGre1819F,F,N,11,4,5
76,HpiGre2990M,M,Y,1,4,5
77,HpiGre2990M,M,N,11,4,5
78,HpiXXX7700M,M,Y,0,4,5
79,HpiXXX7700M,M,N,59,2,5
80,LblGre1214F,F,Y,0,4,5
81,LblGre1214F,F,N,12,4,5
82,RedYel0836M,M,Y,1,4,5
83,RedYel0836M,M,N,12,3,5
84,BluGre3435F,F,Y,0,4,6
85,BluGre3435F,F,N,24,4,6
86,GreBlu4813M,M,Y,0,3,6
87,GreBlu4813M,M,N,4,4,6
88,GreGre1819F,F,Y,1,3,6
89,GreGre1819F,F,N,7,4,6
90,HpiGre2990M,M,Y,1,4,6
91,HpiGre2990M,M,N,12,4,6
92,HpiXXX7700M,M,Y,4,4,6
93,HpiXXX7700M,M,N,24,1,6
94,LblGre1214F,F,Y,2,4,6
95,LblGre1214F,F,N,11,4,6
96,RedYel0836M,M,Y,0,3,6
97,RedYel0836M,M,N,6,3,6
98,BluGre3435F,F,Y,2,4,7
99,BluGre3435F,F,N,28,4,7
100,GreBlu4813M,M,Y,0,2,7
101,GreBlu4813M,M,N,4,4,7
102,GreGre1819F,F,Y,0,3,7
103,GreGre1819F,F,N,5,4,7
104,HpiGre2990M,M,Y,0,4,7
105,HpiGre2990M,M,N,2,4,7
106,HpiXXX7700M,M,Y,0,4,7
107,HpiXXX7700M,M,N,18,1,7
108,LblGre1214F,F,Y,0,4,7
109,LblGre1214F,F,N,5,4,7
110,RedYel0836M,M,Y,1,3,7
111,RedYel0836M,M,N,9,3,7
112,BluGre3435F,F,Y,0,4,8
113,BluGre3435F,F,N,24,4,8
114,GreBlu4813M,M,Y,0,1,8
115,GreBlu4813M,M,N,9,4,8
116,GreGre1819F,F,Y,0,1,8
117,GreGre1819F,F,N,4,4,8
118,HpiGre2990M,M,Y,0,4,8
119,HpiGre2990M,M,N,5,4,8
120,HpiXXX7700M,M,Y,2,4,8
121,HpiXXX7700M,M,N,23,1,8
122,LblGre1214F,F,Y,0,4,8
123,LblGre1214F,F,N,23,4,8
124,RedYel0836M,M,Y,0,3,8
125,RedYel0836M,M,N,11,3,8
126,BluGre3435F,F,Y,1,4,9
127,BluGre3435F,F,N,15,4,9
128,GreBlu4813M,M,Y,0,1,9
129,GreBlu4813M,M,N,3,4,9
130,GreGre1819F,F,N,0,3,9
131,HpiGre2990M,M,Y,0,4,9
132,HpiGre2990M,M,N,7,4,9
133,HpiXXX7700M,M,Y,0,4,9
134,HpiXXX7700M,M,N,0,1,9
135,LblGre1214F,F,Y,0,4,9
136,LblGre1214F,F,N,2,3,9
137,RedYel0836M,M,Y,0,3,9
138,RedYel0836M,M,N,11,2,9
139,BluGre3435F,F,Y,0,4,10
140,BluGre3435F,F,N,2,4,10
141,GreBlu4813M,M,N,2,3,10
142,GreGre1819F,F,N,2,3,10
143,HpiGre2990M,M,Y,1,4,10
144,HpiGre2990M,M,N,15,4,10
145,HpiXXX7700M,M,Y,1,4,10
146,LblGre1214F,F,Y,0,3,10
147,LblGre1214F,F,N,2,3,10
148,RedYel0836M,M,Y,1,3,10
149,RedYel0836M,M,N,4,2,10
