,Subject,Sex,Re,Int,NoInt,RIT
131,LblGre1214F,F,N,8,4,9
132,RedYel0836M,M,Y,0,4,9
133,RedYel0836M,M,N,12,3,9
134,BluGre3435F,F,Y,0,4,10
135,BluGre3435F,F,N,11,4,10
136,GreBlu4813M,M,N,0,2,10
137,GreGre1819F,F,N,7,4,10
138,HpiGre2990M,M,Y,0,4,10
139,HpiGre2990M,M,N,10,2,10
140,HpiXXX7700M,M,Y,2,4,10
141,LblGre1214F,F,Y,1,3,10
142,LblGre1214F,F,N,5,4,10
143,RedYel0836M,M,Y,0,4,10
144,RedYel0836M,M,N,2,2,10
